"clc","lu","desc0","nbs_code","hazard"
23,311,"Broad-leaved forest","ES-20","Erosion"
23,311,"Broad-leaved forest","ES-10","Other"
23,311,"Broad-leaved forest","ES-20","Other"
23,311,"Broad-leaved forest","ES-17","Floods"
23,311,"Broad-leaved forest","ES-17","Erosion"
23,311,"Broad-leaved forest","ES-20","Heat"
23,311,"Broad-leaved forest","ES-20","Floods"
23,311,"Broad-leaved forest","ES-10","Fires"
23,311,"Broad-leaved forest","ES-10","Drought"
24,312,"Coniferous forest","ES-3","Fires"
24,312,"Coniferous forest","CA-1","Floods"
24,312,"Coniferous forest","ES-3","Erosion"
24,312,"Coniferous forest","ES-3","Other"
24,312,"Coniferous forest","ES-17","Erosion"
24,312,"Coniferous forest","ES-17","Floods"
25,313,"Mixed forest","EF-4","Other"
25,313,"Mixed forest","ES-17","Floods"
25,313,"Mixed forest","CA-2","Drought"
25,313,"Mixed forest","ES-18","Other"
25,313,"Mixed forest","ES-18","Erosion"
25,313,"Mixed forest","ES-18","Floods"
25,313,"Mixed forest","ES-18","Drought"
25,313,"Mixed forest","ES-18","Heat"
25,313,"Mixed forest","ES-17","Erosion"
25,313,"Mixed forest","CA-2","Floods"
25,313,"Mixed forest","CA-2","Heat"
25,313,"Mixed forest","CA-2","Other"
25,313,"Mixed forest","NA-9","Erosion"
26,321,"Natural grasslands","ES-1","Other"
26,321,"Natural grasslands","NA-12","Heat"
26,321,"Natural grasslands","FRI-2","Drought"
26,321,"Natural grasslands","FRI-2","Erosion"
26,321,"Natural grasslands","FRI-2","Other"
26,321,"Natural grasslands","NA-12","Drought"
26,321,"Natural grasslands","WF-10","Drought"
26,321,"Natural grasslands","NA-12","Other"
26,321,"Natural grasslands","WF-10","Floods"
26,321,"Natural grasslands","WF-8","Drought"
26,321,"Natural grasslands","EF-3","Floods"
26,321,"Natural grasslands","WF-5","Other"
26,321,"Natural grasslands","WF-5","Heat"
26,321,"Natural grasslands","EF-3","Drought"
26,321,"Natural grasslands","FRI-5","Sea level rise"
26,321,"Natural grasslands","FRI-5","Drought"
26,321,"Natural grasslands","FRI-5","Floods"
26,321,"Natural grasslands","FRI-5","Erosion"
26,321,"Natural grasslands","FRI-5","Other"
26,321,"Natural grasslands","DK-2","Other"
26,321,"Natural grasslands","WF-8","Floods"
26,321,"Natural grasslands","NA-5","Other"
26,321,"Natural grasslands","WF-8","Other"
26,321,"Natural grasslands","DK-2","Floods"
26,321,"Natural grasslands","EF-2","Flood"
26,321,"Natural grasslands","WF-21","Other"
26,321,"Natural grasslands","WF-21","Floods"
26,321,"Natural grasslands","ES-19","Fires"
26,321,"Natural grasslands","ES-19","Erosion"
26,321,"Natural grasslands","NA-3","Other"
26,321,"Natural grasslands","ES-2","Erosion"
26,321,"Natural grasslands","ES-2","Other"
26,321,"Natural grasslands","NA-2","Erosion"
26,321,"Natural grasslands","WF-21","Drought"
26,321,"Natural grasslands","ES-14","Erosion"
26,321,"Natural grasslands","ES-14","Other"
26,321,"Natural grasslands","ES-15","Other"
27,322,"Moors and heathland","ES-19","Erosion"
27,322,"Moors and heathland","EF-3","Drought"
27,322,"Moors and heathland","ES-14","Other"
27,322,"Moors and heathland","EF-3","Floods"
27,322,"Moors and heathland","NA-4","Floods"
27,322,"Moors and heathland","ES-19","Fires"
27,322,"Moors and heathland","ES-14","Erosion"
29,324,"Transitional woodland-shrub","WF-1","Other"
29,324,"Transitional woodland-shrub","ES-4","Other"
29,324,"Transitional woodland-shrub","WF-14","Other"
29,324,"Transitional woodland-shrub","EF-4","Other"
29,324,"Transitional woodland-shrub","ES-4","Fires"
30,331,"Beaches","WF-5","Heat"
30,331,"Beaches","FRI-5","Drought"
30,331,"Beaches","FRI-5","Sea level rise"
30,331,"Beaches","CA-1","Floods"
30,331,"Beaches","WF-5","Other"
30,331,"Beaches","NA-2","Erosion"
30,331,"Beaches","FRI-5","Other"
30,331,"Beaches","FRI-5","Erosion"
30,331,"Beaches","FRI-5","Floods"
31,332,"Bare rocks","NA-7","Heat"
31,332,"Bare rocks","ES-4","Fires"
31,332,"Bare rocks","FRI-5","Floods"
31,332,"Bare rocks","FRI-5","Erosion"
31,332,"Bare rocks","FRI-5","Other"
31,332,"Bare rocks","ES-4","Other"
31,332,"Bare rocks","FRI-5","Sea level rise"
31,332,"Bare rocks","FRI-5","Drought"
32,333,"Sparsely vegetated areas","ES-6","Drought"
32,333,"Sparsely vegetated areas","ES-1","Other"
32,333,"Sparsely vegetated areas","ES-4","Fires"
32,333,"Sparsely vegetated areas","ES-4","Other"
32,333,"Sparsely vegetated areas","ES-6","Fires"
32,333,"Sparsely vegetated areas","ES-6","Erosion"
32,333,"Sparsely vegetated areas","ES-6","Other"
32,333,"Sparsely vegetated areas","FRI-5","Sea level rise"
32,333,"Sparsely vegetated areas","FRI-5","Drought"
32,333,"Sparsely vegetated areas","FRI-5","Floods"
32,333,"Sparsely vegetated areas","FRI-5","Erosion"
32,333,"Sparsely vegetated areas","FRI-5","Other"
32,333,"Sparsely vegetated areas","NA-11","Floods"
32,333,"Sparsely vegetated areas","NA-11","Other"
32,333,"Sparsely vegetated areas","NA-2","Erosion"
32,333,"Sparsely vegetated areas","NA-3","Other"
32,333,"Sparsely vegetated areas","NA-7","Heat"
32,333,"Sparsely vegetated areas","CA-1","Floods"
33,334,"Burnt areas","ES-6","Erosion"
33,334,"Burnt areas","ES-6","Drought"
33,334,"Burnt areas","ES-4","Other"
33,334,"Burnt areas","ES-6","Other"
33,334,"Burnt areas","ES-4","Fires"
33,334,"Burnt areas","ES-6","Fires"
35,411,"Inland marshes","DK-1","Other"
35,411,"Inland marshes","DK-1","Floods"
35,411,"Inland marshes","EF-2","Flood"
35,411,"Inland marshes","EF-3","Drought"
35,411,"Inland marshes","EF-3","Floods"
35,411,"Inland marshes","EF-4","Other"
35,411,"Inland marshes","ES-12","Erosion"
35,411,"Inland marshes","ES-12","Other"
35,411,"Inland marshes","ES-13","Heat"
35,411,"Inland marshes","ES-13"," Sea level rise"
35,411,"Inland marshes","ES-13"," Drought"
35,411,"Inland marshes","ES-13","Other"
35,411,"Inland marshes","WF-3","Erosion"
35,411,"Inland marshes","WF-3","Floods"
35,411,"Inland marshes","NA-16","Other"
35,411,"Inland marshes","CA-1","Floods"
35,411,"Inland marshes","NA-1","Other"
35,411,"Inland marshes","NA-1","Floods"
35,411,"Inland marshes","NA-1","Drought"
35,411,"Inland marshes","NA-1","Heat"
35,411,"Inland marshes","NA-9","Erosion"
35,411,"Inland marshes","NA-12","Heat"
35,411,"Inland marshes","NA-12","Drought"
35,411,"Inland marshes","NA-12","Heat"
35,411,"Inland marshes","NA-12","Other"
35,411,"Inland marshes","NA-12","Drought"
35,411,"Inland marshes","ES-7","Flood"
35,411,"Inland marshes","ES-7","Erosion"
35,411,"Inland marshes","WF-11","Drought"
35,411,"Inland marshes","WF-10","Floods"
35,411,"Inland marshes","WF-10","Drought"
35,411,"Inland marshes","WF-3","Drought"
35,411,"Inland marshes","NA-12","Other"
35,411,"Inland marshes","ES-15","Other"
35,411,"Inland marshes","NA-6","Heat"
36,412,"Peat bogs","DK-9","Floods"
36,412,"Peat bogs","FRI-2","Other"
36,412,"Peat bogs","FRI-1","Drought"
36,412,"Peat bogs","FRI-2","Erosion"
36,412,"Peat bogs","ES-2","Erosion"
36,412,"Peat bogs","FRI-2","Drought"
36,412,"Peat bogs","ES-2","Other"
36,412,"Peat bogs","DK-7","Other"
36,412,"Peat bogs","FRI-1","Other"
36,412,"Peat bogs","DK-9","Heat"
36,412,"Peat bogs","DK-8","Other"
37,421,"Salt marshes","ES-13"," Drought"
37,421,"Salt marshes","FRI-5","Other"
37,421,"Salt marshes","FRI-5","Erosion"
37,421,"Salt marshes","FRI-5","Floods"
37,421,"Salt marshes","FRI-5","Drought"
37,421,"Salt marshes","FRI-5","Sea level rise"
37,421,"Salt marshes","ES-8","Erosion"
37,421,"Salt marshes","ES-8","Floods"
37,421,"Salt marshes","ES-21","Erosion"
37,421,"Salt marshes","ES-21","Floods"
37,421,"Salt marshes","ES-21","Sea level rise"
37,421,"Salt marshes","ES-13","Other"
37,421,"Salt marshes","ES-13"," Sea level rise"
37,421,"Salt marshes","ES-13","Heat"
37,421,"Salt marshes","WF-8","Other"
37,421,"Salt marshes","WF-8","Floods"
