clc,lu,desc0,nbs_code,hazard,landscape_case
21,243,Land principally occupied by agriculture with significant areas,CA-2,Other,Rural
21,243,Land principally occupied by agriculture with significant areas,EF-5,Erosion,Rural
21,243,Land principally occupied by agriculture with significant areas,CA-2,Flood,Rural
21,243,Land principally occupied by agriculture with significant areas,DK-7,Other,Rural
21,243,Land principally occupied by agriculture with significant areas,DK-8,Other,Rural
21,243,Land principally occupied by agriculture with significant areas,DK-9,Heat,Rural
21,243,Land principally occupied by agriculture with significant areas,CA-2,Drought,Rural
21,243,Land principally occupied by agriculture with significant areas,CA-2,Heat,Rural
21,243,Land principally occupied by agriculture with significant areas,DK-9,Flood,Rural
21,243,Land principally occupied by agriculture with significant areas,DK-3,Flood,Rural
22,244,Agro-forestry areas,ES-4,Fires,
22,244,Agro-forestry areas,ES-19,Erosion,
22,244,Agro-forestry areas,ES-19,Fires,
22,244,Agro-forestry areas,ES-4,Other,
22,244,Agro-forestry areas,CA-1,Flood,
22,244,Agro-forestry areas,CA-2,Other,
22,244,Agro-forestry areas,CA-2,Flood,
22,244,Agro-forestry areas,CA-2,Drought,
22,244,Agro-forestry areas,CA-2,Heat,
23,311,Broad-leaved forest,ES-10,Erosion,Mountainous
23,311,Broad-leaved forest,ES-20,Erosion,Mountainous
23,311,Broad-leaved forest,ES-10,Other,Mountainous
23,311,Broad-leaved forest,ES-20,Other,Mountainous
23,311,Broad-leaved forest,ES-17,Flood,Mountainous
23,311,Broad-leaved forest,ES-17,Erosion,Mountainous
23,311,Broad-leaved forest,ES-20,Heat,Mountainous
23,311,Broad-leaved forest,ES-20,Flood,Mountainous
23,311,Broad-leaved forest,ES-10,Fires,Mountainous
23,311,Broad-leaved forest,ES-10,Drought,Mountainous
24,312,Coniferous forest,ES-3,Fires,
24,312,Coniferous forest,CA-1,Flood,
24,312,Coniferous forest,ES-3,Erosion,
24,312,Coniferous forest,ES-3,Other,
24,312,Coniferous forest,ES-17,Erosion,
24,312,Coniferous forest,ES-17,Flood,
25,313,Mixed forest,EF-4,Other,
25,313,Mixed forest,ES-17,Flood,
